"productkey","productalternatekey","productsubcategorykey","englishproductname","color","safetystocklevel","reorderpoint","size","daystomanufacture","productline","modelname","englishdescription","startdate","enddate","status"
324,"BK-R50R-62",2,"Road-650 Red, 62","Red",100,75,"62",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL
325,"BK-R50R-62",2,"Road-650 Red, 62","Red",100,75,"62",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL
326,"BK-R50R-44",2,"Road-650 Red, 44","Red",100,75,"44",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL
327,"BK-R50R-44",2,"Road-650 Red, 44","Red",100,75,"44",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL
328,"BK-R50R-48",2,"Road-650 Red, 48","Red",100,75,"48",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL
329,"BK-R50R-48",2,"Road-650 Red, 48","Red",100,75,"48",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL
330,"BK-R50R-52",2,"Road-650 Red, 52","Red",100,75,"52",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL
331,"BK-R50R-52",2,"Road-650 Red, 52","Red",100,75,"52",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL
332,"BK-R50B-58",2,"Road-650 Black, 58","Black",100,75,"58",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL
333,"BK-R50B-58",2,"Road-650 Black, 58","Black",100,75,"58",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL
334,"BK-R50B-60",2,"Road-650 Black, 60","Black",100,75,"60",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL
336,"BK-R50B-62",2,"Road-650 Black, 62","Black",100,75,"62",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL
337,"BK-R50B-62",2,"Road-650 Black, 62","Black",100,75,"62",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL
338,"BK-R50B-44",2,"Road-650 Black, 44","Black",100,75,"44",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL
339,"BK-R50B-44",2,"Road-650 Black, 44","Black",100,75,"44",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL
340,"BK-R50B-48",2,"Road-650 Black, 48","Black",100,75,"48",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL
341,"BK-R50B-48",2,"Road-650 Black, 48","Black",100,75,"48",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL
342,"BK-R50B-52",2,"Road-650 Black, 52","Black",100,75,"52",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL
343,"BK-R50B-52",2,"Road-650 Black, 52","Black",100,75,"52",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL
344,"BK-M82S-38",1,"Mountain-100 Silver, 38","Silver",100,75,"38",4,"M ","Mountain-100","Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.","00:00.0","00:00.0",NULL
345,"BK-M82S-42",1,"Mountain-100 Silver, 42","Silver",100,75,"42",4,"M ","Mountain-100","Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.","00:00.0","00:00.0",NULL
346,"BK-M82S-44",1,"Mountain-100 Silver, 44","Silver",100,75,"44",4,"M ","Mountain-100","Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.","00:00.0","00:00.0",NULL
347,"BK-M82S-48",1,"Mountain-100 Silver, 48","Silver",100,75,"48",4,"M ","Mountain-100","Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.","00:00.0","00:00.0",NULL
348,"BK-M82B-38",1,"Mountain-100 Black, 38","Black",100,75,"38",4,"M ","Mountain-100","Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.","00:00.0","00:00.0",NULL
349,"BK-M82B-42",1,"Mountain-100 Black, 42","Black",100,75,"42",4,"M ","Mountain-100","Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.","00:00.0","00:00.0",NULL
350,"BK-M82B-44",1,"Mountain-100 Black, 44","Black",100,75,"44",4,"M ","Mountain-100","Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.","00:00.0","00:00.0",NULL
351,"BK-M82B-48",1,"Mountain-100 Black, 48","Black",100,75,"48",4,"M ","Mountain-100","Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.","00:00.0","00:00.0",NULL
352,"BK-M68S-38",1,"Mountain-200 Silver, 38","Silver",100,75,"38",4,"M ","Mountain-200","Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.","00:00.0","00:00.0",NULL
353,"BK-M68S-38",1,"Mountain-200 Silver, 38","Silver",100,75,"38",4,"M ","Mountain-200","Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.","00:00.0",NULL,"Current"
354,"BK-M68S-42",1,"Mountain-200 Silver, 42","Silver",100,75,"42",4,"M ","Mountain-200","Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.","00:00.0","00:00.0",NULL
355,"BK-M68S-42",1,"Mountain-200 Silver, 42","Silver",100,75,"42",4,"M ","Mountain-200","Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.","00:00.0",NULL,"Current"
356,"BK-M68S-46",1,"Mountain-200 Silver, 46","Silver",100,75,"46",4,"M ","Mountain-200","Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.","00:00.0","00:00.0",NULL
357,"BK-M68S-46",1,"Mountain-200 Silver, 46","Silver",100,75,"46",4,"M ","Mountain-200","Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.","00:00.0",NULL,"Current"
358,"BK-M68B-38",1,"Mountain-200 Black, 38","Black",100,75,"38",4,"M ","Mountain-200","Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.","00:00.0","00:00.0",NULL
359,"BK-M68B-38",1,"Mountain-200 Black, 38","Black",100,75,"38",4,"M ","Mountain-200","Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.","00:00.0",NULL,"Current"
360,"BK-M68B-42",1,"Mountain-200 Black, 42","Black",100,75,"42",4,"M ","Mountain-200","Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.","00:00.0","00:00.0",NULL
361,"BK-M68B-42",1,"Mountain-200 Black, 42","Black",100,75,"42",4,"M ","Mountain-200","Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.","00:00.0",NULL,"Current"
362,"BK-M68B-46",1,"Mountain-200 Black, 46","Black",100,75,"46",4,"M ","Mountain-200","Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.","00:00.0","00:00.0",NULL
363,"BK-M68B-46",1,"Mountain-200 Black, 46","Black",100,75,"46",4,"M ","Mountain-200","Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.","00:00.0",NULL,"Current"
364,"BK-M47B-38",1,"Mountain-300 Black, 38","Black",100,75,"38",4,"M ","Mountain-300","For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.","00:00.0","00:00.0",NULL
365,"BK-M47B-40",1,"Mountain-300 Black, 40","Black",100,75,"40",4,"M ","Mountain-300","For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.","00:00.0","00:00.0",NULL
366,"BK-M47B-44",1,"Mountain-300 Black, 44","Black",100,75,"44",4,"M ","Mountain-300","For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.","00:00.0","00:00.0",NULL
367,"BK-M47B-48",1,"Mountain-300 Black, 48","Black",100,75,"48",4,"M ","Mountain-300","For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.","00:00.0","00:00.0",NULL
368,"BK-R89R-44",2,"Road-250 Red, 44","Red",100,75,"44",4,"R ","Road-250","Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.","00:00.0","00:00.0",NULL
369,"BK-R89R-48",2,"Road-250 Red, 48","Red",100,75,"48",4,"R ","Road-250","Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.","00:00.0","00:00.0",NULL
370,"BK-R89R-52",2,"Road-250 Red, 52","Red",100,75,"52",4,"R ","Road-250","Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.","00:00.0","00:00.0",NULL
371,"BK-R89R-58",2,"Road-250 Red, 58","Red",100,75,"58",4,"R ","Road-250","Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.","00:00.0","00:00.0",NULL
372,"BK-R89R-58",2,"Road-250 Red, 58","Red",100,75,"58",4,"R ","Road-250","Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.","00:00.0",NULL,"Current"
373,"BK-R89B-44",2,"Road-250 Black, 44","Black",100,75,"44",4,"R ","Road-250","Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.","00:00.0","00:00.0",NULL
374,"BK-R89B-44",2,"Road-250 Black, 44","Black",100,75,"44",4,"R ","Road-250","Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.","00:00.0",NULL,"Current"
375,"BK-R89B-48",2,"Road-250 Black, 48","Black",100,75,"48",4,"R ","Road-250","Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.","00:00.0","00:00.0",NULL
376,"BK-R89B-48",2,"Road-250 Black, 48","Black",100,75,"48",4,"R ","Road-250","Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.","00:00.0",NULL,"Current"
377,"BK-R89B-52",2,"Road-250 Black, 52","Black",100,75,"52",4,"R ","Road-250","Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.","00:00.0","00:00.0",NULL
378,"BK-R89B-52",2,"Road-250 Black, 52","Black",100,75,"52",4,"R ","Road-250","Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.","00:00.0",NULL,"Current"
379,"BK-R89B-58",2,"Road-250 Black, 58","Black",100,75,"58",4,"R ","Road-250","Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.","00:00.0","00:00.0",NULL
380,"BK-R89B-58",2,"Road-250 Black, 58","Black",100,75,"58",4,"R ","Road-250","Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.","00:00.0",NULL,"Current"
381,"BK-R64Y-38",2,"Road-550-W Yellow, 38","Yellow",100,75,"38",4,"R ","Road-550-W","Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.","00:00.0","00:00.0",NULL
382,"BK-R64Y-38",2,"Road-550-W Yellow, 38","Yellow",100,75,"38",4,"R ","Road-550-W","Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.","00:00.0",NULL,"Current"
383,"BK-R64Y-40",2,"Road-550-W Yellow, 40","Yellow",100,75,"40",4,"R ","Road-550-W","Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.","00:00.0","00:00.0",NULL
384,"BK-R64Y-40",2,"Road-550-W Yellow, 40","Yellow",100,75,"40",4,"R ","Road-550-W","Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.","00:00.0",NULL,"Current"
385,"BK-R64Y-42",2,"Road-550-W Yellow, 42","Yellow",100,75,"42",4,"R ","Road-550-W","Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.","00:00.0","00:00.0",NULL
386,"BK-R64Y-42",2,"Road-550-W Yellow, 42","Yellow",100,75,"42",4,"R ","Road-550-W","Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.","00:00.0",NULL,"Current"
387,"BK-R64Y-44",2,"Road-550-W Yellow, 44","Yellow",100,75,"44",4,"R ","Road-550-W","Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.","00:00.0","00:00.0",NULL
388,"BK-R64Y-44",2,"Road-550-W Yellow, 44","Yellow",100,75,"44",4,"R ","Road-550-W","Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.","00:00.0",NULL,"Current"
389,"BK-R64Y-48",2,"Road-550-W Yellow, 48","Yellow",100,75,"48",4,"R ","Road-550-W","Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.","00:00.0","00:00.0",NULL
390,"BK-R64Y-48",2,"Road-550-W Yellow, 48","Yellow",100,75,"48",4,"R ","Road-550-W","Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.","00:00.0",NULL,"Current"
391,"FK-1639",10,"LL Fork","NA",500,375,NULL,1,NULL,"LL Fork","Stout design absorbs shock and offers more precise steering.","00:00.0","00:00.0",NULL
392,"FK-5136",10,"ML Fork","NA",500,375,NULL,1,NULL,"ML Fork","Composite road fork with an aluminum steerer tube.","00:00.0","00:00.0",NULL
393,"FK-9939",10,"HL Fork","NA",500,375,NULL,1,NULL,"HL Fork","High-performance carbon road fork with curved legs.","00:00.0","00:00.0",NULL
394,"HS-0296",11,"LL Headset","NA",500,375,NULL,1,NULL,"LL Headset","Threadless headset provides quality at an economical price.","00:00.0","00:00.0",NULL
395,"HS-2451",11,"ML Headset","NA",500,375,NULL,1,NULL,"ML Headset","Sealed cartridge keeps dirt out.","00:00.0","00:00.0",NULL
396,"HS-3479",11,"HL Headset","NA",500,375,NULL,1,NULL,"HL Headset","High-quality 1"" threadless headset with a grease port for quick lubrication.","00:00.0","00:00.0",NULL
397,"HB-M243",4,"LL Mountain Handlebars","NA",500,375,NULL,1,"M ","LL Mountain Handlebars","All-purpose bar for on or off-road.","00:00.0","00:00.0",NULL
398,"HB-M243",4,"LL Mountain Handlebars","NA",500,375,NULL,1,"M ","LL Mountain Handlebars","All-purpose bar for on or off-road.","00:00.0",NULL,"Current"
399,"HB-M763",4,"ML Mountain Handlebars","NA",500,375,NULL,1,"M ","ML Mountain Handlebars","Tough aluminum alloy bars for downhill.","00:00.0","00:00.0",NULL
400,"HB-M763",4,"ML Mountain Handlebars","NA",500,375,NULL,1,"M ","ML Mountain Handlebars","Tough aluminum alloy bars for downhill.","00:00.0",NULL,"Current"
401,"HB-M918",4,"HL Mountain Handlebars","NA",500,375,NULL,1,"M ","HL Mountain Handlebars","Flat bar strong enough for the pro circuit.","00:00.0","00:00.0",NULL
402,"HB-M918",4,"HL Mountain Handlebars","NA",500,375,NULL,1,"M ","HL Mountain Handlebars","Flat bar strong enough for the pro circuit.","00:00.0",NULL,"Current"
403,"HB-R504",4,"LL Road Handlebars","NA",500,375,NULL,1,"R ","LL Road Handlebars","Unique shape provides easier reach to the levers.","00:00.0","00:00.0",NULL
404,"HB-R504",4,"LL Road Handlebars","NA",500,375,NULL,1,"R ","LL Road Handlebars","Unique shape provides easier reach to the levers.","00:00.0",NULL,"Current"
405,"HB-R720",4,"ML Road Handlebars","NA",500,375,NULL,1,"R ","ML Road Handlebars","Anatomically shaped aluminum tube bar will suit all riders.","00:00.0","00:00.0",NULL
406,"HB-R720",4,"ML Road Handlebars","NA",500,375,NULL,1,"R ","ML Road Handlebars","Anatomically shaped aluminum tube bar will suit all riders.","00:00.0",NULL,"Current"
407,"HB-R956",4,"HL Road Handlebars","NA",500,375,NULL,1,"R ","HL Road Handlebars","Designed for racers; high-end anatomically shaped bar from aluminum alloy.","00:00.0","00:00.0",NULL
408,"HB-R956",4,"HL Road Handlebars","NA",500,375,NULL,1,"R ","HL Road Handlebars","Designed for racers; high-end anatomically shaped bar from aluminum alloy.","00:00.0",NULL,"Current"
409,"FR-M63B-38",12,"ML Mountain Frame - Black, 38","Black",500,375,"38",2,"M ","ML Mountain Frame-W","The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Men's version.","00:00.0","00:00.0",NULL
410,"FW-M423",17,"LL Mountain Front Wheel","Black",500,375,NULL,1,"M ","LL Mountain Front Wheel","Replacement mountain wheel for entry-level rider.","00:00.0","00:00.0",NULL
411,"FW-M762",17,"ML Mountain Front Wheel","Black",500,375,NULL,1,"M ","ML Mountain Front Wheel","Replacement mountain wheel for the casual to serious rider.","00:00.0","00:00.0",NULL
412,"FW-M928",17,"HL Mountain Front Wheel","Black",500,375,NULL,1,"M ","HL Mountain Front Wheel","High-performance mountain replacement wheel.","00:00.0","00:00.0",NULL
413,"FW-R623",17,"LL Road Front Wheel","Black",500,375,NULL,1,"R ","LL Road Front Wheel","Replacement road front wheel for entry-level cyclist.","00:00.0","00:00.0",NULL
414,"FW-R762",17,"ML Road Front Wheel","Black",500,375,NULL,1,"R ","ML Road Front Wheel","Sturdy alloy features a quick-release hub.","00:00.0","00:00.0",NULL
415,"FW-R820",17,"HL Road Front Wheel","Black",500,375,NULL,1,"R ","HL Road Front Wheel","Strong wheel with double-walled rim.","00:00.0","00:00.0",NULL
416,"FW-T905",17,"Touring Front Wheel","Black",500,375,NULL,1,"T ","Touring Front Wheel","Aerodynamic rims for smooth riding.","00:00.0","00:00.0",NULL
417,"FR-R72Y-38",14,"ML Road Frame-W - Yellow, 38","Yellow",500,375,"38",2,"R ","ML Road Frame-W","Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.","00:00.0","00:00.0",NULL
418,"FR-R72Y-38",14,"ML Road Frame-W - Yellow, 38","Yellow",500,375,"38",2,"R ","ML Road Frame-W","Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.","00:00.0",NULL,"Current"
419,"RW-M423",17,"LL Mountain Rear Wheel","Black",500,375,NULL,1,"M ","LL Mountain Rear Wheel","Replacement mountain wheel for entry-level rider.","00:00.0","00:00.0",NULL
420,"RW-M762",17,"ML Mountain Rear Wheel","Black",500,375,NULL,1,"M ","ML Mountain Rear Wheel","Replacement mountain wheel for the casual to serious rider.","00:00.0","00:00.0",NULL
421,"RW-M928",17,"HL Mountain Rear Wheel","Black",500,375,NULL,1,"M ","HL Mountain Rear Wheel","High-performance mountain replacement wheel.","00:00.0","00:00.0",NULL
422,"RW-R623",17,"LL Road Rear Wheel","Black",500,375,NULL,1,"R ","LL Road Rear Wheel","Replacement road rear wheel for entry-level cyclist.","00:00.0","00:00.0",NULL
423,"RW-R762",17,"ML Road Rear Wheel","Black",500,375,NULL,1,"R ","ML Road Rear Wheel","Aluminum alloy rim with stainless steel spokes; built for speed.","00:00.0","00:00.0",NULL
424,"RW-R820",17,"HL Road Rear Wheel","Black",500,375,NULL,1,"R ","HL Road Rear Wheel","Strong rear wheel with double-walled rim.","00:00.0","00:00.0",NULL
425,"RW-T905",17,"Touring Rear Wheel","Black",500,375,NULL,1,"T ","Touring Rear Wheel","Excellent aerodynamic rims guarantee a smooth ride.","00:00.0","00:00.0",NULL
426,"FR-M63B-40",12,"ML Mountain Frame - Black, 40","Black",500,375,"40",1,"M ","ML Mountain Frame","The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Women's version.","00:00.0","00:00.0",NULL
427,"FR-M63B-44",12,"ML Mountain Frame - Black, 44","Black",500,375,"44",1,"M ","ML Mountain Frame","The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Women's version.","00:00.0","00:00.0",NULL
428,"FR-M63B-48",12,"ML Mountain Frame - Black, 48","Black",500,375,"48",1,"M ","ML Mountain Frame","The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Women's version.","00:00.0","00:00.0",NULL
429,"FR-R72Y-40",14,"ML Road Frame-W - Yellow, 40","Yellow",500,375,"40",1,"R ","ML Road Frame-W","Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.","00:00.0","00:00.0",NULL
430,"FR-R72Y-40",14,"ML Road Frame-W - Yellow, 40","Yellow",500,375,"40",1,"R ","ML Road Frame-W","Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.","00:00.0",NULL,"Current"
431,"FR-R72Y-42",14,"ML Road Frame-W - Yellow, 42","Yellow",500,375,"42",1,"R ","ML Road Frame-W","Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.","00:00.0","00:00.0",NULL
432,"FR-R72Y-42",14,"ML Road Frame-W - Yellow, 42","Yellow",500,375,"42",1,"R ","ML Road Frame-W","Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.","00:00.0",NULL,"Current"
433,"FR-R72Y-44",14,"ML Road Frame-W - Yellow, 44","Yellow",500,375,"44",1,"R ","ML Road Frame-W","Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.","00:00.0","00:00.0",NULL
434,"FR-R72Y-44",14,"ML Road Frame-W - Yellow, 44","Yellow",500,375,"44",1,"R ","ML Road Frame-W","Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.","00:00.0",NULL,"Current"
435,"FR-R72Y-48",14,"ML Road Frame-W - Yellow, 48","Yellow",500,375,"48",1,"R ","ML Road Frame-W","Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.","00:00.0","00:00.0",NULL
436,"FR-R72Y-48",14,"ML Road Frame-W - Yellow, 48","Yellow",500,375,"48",1,"R ","ML Road Frame-W","Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.","00:00.0",NULL,"Current"
437,"FR-R92B-62",14,"HL Road Frame - Black, 62","Black",500,375,"62",1,"R ","HL Road Frame","Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.","00:00.0","00:00.0",NULL
438,"FR-R92B-62",14,"HL Road Frame - Black, 62","Black",500,375,"62",1,"R ","HL Road Frame","Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.","00:00.0",NULL,"Current"
439,"FR-R92B-44",14,"HL Road Frame - Black, 44","Black",500,375,"44",1,"R ","HL Road Frame","Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.","00:00.0","00:00.0",NULL
440,"FR-R92B-44",14,"HL Road Frame - Black, 44","Black",500,375,"44",1,"R ","HL Road Frame","Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.","00:00.0",NULL,"Current"
441,"FR-R92B-48",14,"HL Road Frame - Black, 48","Black",500,375,"48",1,"R ","HL Road Frame","Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.","00:00.0","00:00.0",NULL
442,"FR-R92B-48",14,"HL Road Frame - Black, 48","Black",500,375,"48",1,"R ","HL Road Frame","Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.","00:00.0",NULL,"Current"
443,"FR-R92B-52",14,"HL Road Frame - Black, 52","Black",500,375,"52",1,"R ","HL Road Frame","Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.","00:00.0","00:00.0",NULL
444,"FR-R92B-52",14,"HL Road Frame - Black, 52","Black",500,375,"52",1,"R ","HL Road Frame","Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.","00:00.0",NULL,"Current"
445,"SH-M897-S",22,"Men's Sports Shorts, S","Black",4,3,"S",0,"S ","Men's Sports Shorts","Men's 8-panel racing shorts - lycra with an elastic waistband and leg grippers.","00:00.0","00:00.0",NULL
446,"PA-T100",35,"Touring-Panniers, Large","Grey",4,3,NULL,0,"T ","Touring-Panniers","Durable, water-proof nylon construction with easy access. Large enough for weekend trips.","00:00.0","00:00.0",NULL
447,"LO-C100",34,"Cable Lock","NA",4,3,NULL,0,"S ","Cable Lock","Wraps to fit front and rear tires, carrier and 2 keys included.","00:00.0","00:00.0",NULL
448,"PU-0452",36,"Minipump","NA",4,3,NULL,0,"S ","Minipump","Designed for convenience. Fits in your pocket. Aluminum barrel. 160psi rated.","00:00.0","00:00.0",NULL
449,"PU-M044",36,"Mountain Pump","NA",4,3,NULL,0,"M ","Mountain Pump","Simple and light-weight. Emergency patches stored in handle.","00:00.0","00:00.0",NULL
450,"LT-T990",33,"Taillights - Battery-Powered","NA",4,3,NULL,0,"R ","Taillight","Affordable light for safe night riding - uses 3 AAA batteries","00:00.0","00:00.0",NULL
451,"LT-H902",33,"Headlights - Dual-Beam","NA",4,3,NULL,0,"R ","Headlights - Dual-Beam","Rechargeable dual-beam headlight.","00:00.0","00:00.0",NULL
452,"LT-H903",33,"Headlights - Weatherproof","NA",4,3,NULL,0,"R ","Headlights - Weatherproof","Rugged weatherproof headlight.","00:00.0","00:00.0",NULL
453,"SH-M897-M",22,"Men's Sports Shorts, M","Black",4,3,"M",0,"S ","Men's Sports Shorts","Men's 8-panel racing shorts - lycra with an elastic waistband and leg grippers.","00:00.0","00:00.0",NULL
